run,final_fitness,evaluations,runtime
1,1002.9848771712799,100001,2.594715118408203
2,1000.9949590570933,100001,2.5798540115356445
3,1000.9949590570933,100001,1.9993610382080078
4,1000.9949590570933,100001,1.997783899307251
5,1000.9949590570933,100001,2.632297992706299
6,1001.7099609119387,100001,2.0488638877868652
7,1000.9949590570933,100001,2.5766608715057373
8,1000.9949590570933,100001,2.0080180168151855
9,1000.9949590570933,100001,1.9970660209655762
10,1002.8877564717877,100001,1.9832468032836914
